DEB [20241222-14:45:00.359] thr=1   paramiko.transport: starting thread (client mode): 0x9f915400
DEB [20241222-17:31:00.791] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20241222-17:31:00.832] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-18:24:24.541] thr=1   paramiko.transport: starting thread (client mode): 0xd832a290
DEB [20241222-18:24:24.542] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-18:24:24.610] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-18:24:24.610] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-18:24:24.667] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-18:24:24.667] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-18:24:24.667] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-18:24:24.668] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: kex follows: False
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-18:24:24.669] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-18:24:24.670] thr=1   paramiko.transport: Compression: none
DEB [20241222-18:24:24.670] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-18:24:24.689] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:24:24.689] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-18:24:24.693] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-18:24:24.694] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:24:24.694] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-18:24:24.695] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-18:24:25.200] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-18:24:25.202] thr=1   paramiko.transport: userauth is OK
DEB [20241222-18:24:25.202] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-18:24:25.202] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-18:24:25.202] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-18:24:25.202] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-18:24:25.249] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-18:24:25.252] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-18:24:25.309] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-18:24:25.309] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-18:24:25.310] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-18:24:25.310] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-18:24:25.320] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-18:24:26.791] thr=1   paramiko.transport: [chan 0] EOF received (0)
DEB [20241222-18:24:26.792] thr=1   paramiko.transport: [chan 0] EOF sent (0)
DEB [20241222-18:24:26.819] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-18:29:17.721] thr=1   paramiko.transport: starting thread (client mode): 0x3bea550
DEB [20241222-18:29:17.722] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-18:29:17.780] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-18:29:17.780] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-18:29:17.825] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: kex follows: False
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-18:29:17.826] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: Compression: none
DEB [20241222-18:29:17.827] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-18:29:17.834] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:29:17.835] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-18:29:17.836] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-18:29:17.836] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:29:17.836] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-18:29:17.837] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-18:29:18.142] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-18:29:18.142] thr=1   paramiko.transport: userauth is OK
DEB [20241222-18:29:18.142] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-18:29:18.142] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-18:29:18.143] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-18:29:18.143] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-18:29:18.171] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-18:29:18.171] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-18:29:18.223] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-18:29:18.223] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-18:29:18.223] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-18:29:18.224] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-18:29:18.232] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-18:31:37.119] thr=1   paramiko.transport: starting thread (client mode): 0x7f62a3d0
DEB [20241222-18:31:37.122] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-18:31:37.166] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-18:31:37.167] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-18:31:37.218] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: kex follows: False
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-18:31:37.219] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-18:31:37.220] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-18:31:37.220] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-18:31:37.220] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-18:31:37.220] thr=1   paramiko.transport: Compression: none
DEB [20241222-18:31:37.220] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-18:31:37.227] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:31:37.227] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-18:31:37.227] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-18:31:37.227] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:31:37.228] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-18:31:37.228] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-18:31:37.537] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-18:31:37.539] thr=1   paramiko.transport: userauth is OK
DEB [20241222-18:31:37.539] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-18:31:37.539] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-18:31:37.539] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-18:31:37.539] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-18:31:37.569] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-18:31:37.570] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-18:31:37.607] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-18:31:37.607] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-18:31:37.608] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-18:31:37.608] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-18:31:37.614] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-18:32:59.819] thr=1   paramiko.transport: starting thread (client mode): 0xd04ba190
DEB [20241222-18:32:59.820] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-18:32:59.874] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-18:32:59.874] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:32:59.924] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: kex follows: False
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: Compression: none
DEB [20241222-18:32:59.925] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-18:32:59.931] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:32:59.931] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-18:32:59.931] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-18:32:59.931] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:32:59.933] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-18:32:59.934] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-18:33:00.243] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-18:33:00.244] thr=1   paramiko.transport: userauth is OK
DEB [20241222-18:33:00.244] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-18:33:00.244] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-18:33:00.244] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-18:33:00.244] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-18:33:00.263] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-18:33:00.264] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20241222-18:33:00.302] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-18:33:00.303] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-18:33:00.303] thr=1   paramiko.transport: [chan 0] Max packet out: 32768 bytes
DEB [20241222-18:33:00.303] thr=1   paramiko.transport: Secsh channel 0 opened.
DEB [20241222-18:33:00.309] thr=1   paramiko.transport: [chan 0] Sesch channel 0 request ok
DEB [20241222-18:35:46.102] thr=1   paramiko.transport: starting thread (client mode): 0x53ada150
DEB [20241222-18:35:46.106] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-18:35:46.148] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-18:35:46.148] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-18:35:46.186] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: kex follows: False
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-18:35:46.187] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-18:35:46.188] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-18:35:46.188] thr=1   paramiko.transport: Compression: none
DEB [20241222-18:35:46.188] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-18:35:46.193] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:35:46.194] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-18:35:46.194] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-18:35:46.194] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-18:35:46.194] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
